"";"id";"number";"title";"authors";"projectcode";"date";"jel";"lemma";"stem"
"11";14;"2005-014";"Are Eastern European Countries Catching Up? Time Series Evidence for Czech Republic, Hungary, and Poland";"Ralf Br¸ggemann and  Carsten Trenkler";"C2";"2005-03-04";"C32,  E24";"catch process czech republic hungary poland analyze investigate integration property log-differences per-capita gdp versus eu15 mediterranean country group account structural change use unit root test allow endogenous break level trend find czech republic hungary stochastically converge towards mediterranean group czech republic stochastically converge towards eu15 remain per capita gdp difference reduce deterministic trend extrapolate trend find catch will take year keywords stochastic convergence catching unit root test eu accession jel classification c32 e24";"catch process czech republ hungari poland analyz investig integr properti log-differ per-capita gdp versu eu15 mediterranean countri group account structur chang us unit root test allow endogen break level trend find czech republ hungari stochast converg toward mediterranean group czech republ stochast converg toward eu15 remain per capita gdp differ reduc determinist trend extrapol trend find catch will take year keyword stochast converg catch unit root test eu access jel classif c32 e24"
"12";15;"2005-015";"Robust estimation of dimension reduction space";"Wolfgang H‰rdle and  Pavel Cizek";"B1";"2005-03-24";"C14,  C40";"dimension reduction method base nonparametric smooth highly sensitive outlier datum come heavy-tailed distribution show recently propose method xia et al can make robust way preserve advantage original approach extension base local one-step m-estimators su¬±ciently robust outlier datum heavy tail distribution relatively easy implement surprisingly perform well original method apply normally distribute datum key word dimension reduction nonparametric regression m-estimation";"dimens reduct method base nonparametr smooth highli sensit outlier data come heavy-tail distribut show recent propos method xia et al can made robust wai preserv advantag origin approach extens base local one-step m-estim su¬±cient robust outlier data heavi tail distribut rel easi implement surprisingli perform well origin method appli normal distribut data kei word dimens reduct nonparametr regress m-estim"
"13";16;"2005-016";"Common functional component modelling";"Michal Benko and  Alois Kneip";"B1";"2005-03-24";"C13,  G19";"functional datum analysis fda become popular technique applied statistic particular methodology receive considerable attention recent study empirical finance talk discuss selected topic functional principal component analysis motivate financial datum";"function data analysi fda becom popular techniqu appli statist particular methodologi receiv consider attent recent studi empir financ talk discuss select topic function princip compon analysi motiv financi data"
"14";17;"2005-017";"A two state model for noise-induced resonance in bistable systems with delay";"Markus Fischer and  Peter Imkeller";"B6C4";"2005-03-24";"C13,  C51,  C87,  M31";"subject present paper simplify model symmetric bistable system memory delay reference model presence noise exhibit phenomenon similar know stochastic resonance reference model give dimensional parametrized stochastic differential equation point delay basic property whereof check view capture effective dynamics particular resonance-like behaviour reference model construct simplify reduce model state model first discrete time limit discrete time tend continuous time main advantage reduce model enable us explicitly calculate distribution residence time turn can use characterize phenomenon noise-induced resonance draw propose physics literature outline heuristic method establish link state model reference model resonance characteristic develop reduce model can thus apply original model";"subject present paper simplifi model symmetr bistabl system memori delai refer model presenc nois exhibit phenomenon similar known stochast reson refer model given dimension parametr stochast differenti equat point delai basic properti whereof check view captur effect dynam particular resonance-lik behaviour refer model construct simplifi reduc model state model first discret time limit discret time tend continu time main advantag reduc model enabl u explicitli calcul distribut resid time turn can us character phenomenon noise-induc reson draw propos physic literatur outlin heurist method establish link state model refer model reson characterist develop reduc model can thu appli origin model"
"15";18;"2005-018";"Yxilon - a modular open-source statistical programming language";"Sigbert Klinke, Uwe Ziegenhagen and  Yuval Guri";"B1";"2005-04-01";"C80";"statistical research always edge available computing power huge datasets e.g datamining quantitative finance computationally intensive technique e.g. bootstrap method always require little bit computing power currently available popular statistical programming language r well statistical programming language like s xplore interpret make slow compute intensive area common solution implement routine low-level programming language like c/ c++ fortran subsequently integrate dynamic link library dll share object library statistical programming language";"statist research alwai edg avail comput power huge dataset e.g datamin quantit financ computation intens techniqu e.g. bootstrap method alwai requir littl bit comput power current avail popular statist program languag r well statist program languag like s xplore interpret make slow comput intens area common solut implement routin low-level program languag like c/ c++ fortran subsequ integr dynam link librari dll share object librari statist program languag"
"16";19;"2005-019";"Arbitrage-free smoothing of the implied volatility surface";"Matthias R. Fengler";"B1";"2005-03-23";"C14,  C81,  G12";"pricing accuracy pricing performance local volatility model crucially depend absence arbitrage implied volatility surface input imply volatility surface arbitrage-free invariably result negative transition probability and/ negative local volatility ultimately mispricings common smooth algorithm implied volatility surface guarantee absence arbitrage propose approach smooth implied volatility smile arbitrage-free way methodology simple implement computationally cheap build well-founded theory natural smooth spline suitable shape constraint unlike method approach also work input datum scarce arbitrage-free thus can easily integrate standard local volatility pricer";"price accuraci price perform local volatil model crucial depend absenc arbitrag impli volatil surfac input impli volatil surfac arbitrage-fre invari result neg transit probabl and/ neg local volatil ultim mispric common smooth algorithm impli volatil surfac guarante absenc arbitrag propos approach smooth impli volatil smile arbitrage-fre wai methodologi simpl implement computation cheap build well-found theori natur smooth spline suitabl shape constraint unlike method approach also work input data scarc arbitrage-fre thu can easili integr standard local volatil pricer"
"17";20;"2005-020";"A Dynamic Semiparametric Factor Model for Implied Volatility String Dynamics";"Wolfgang K. H‰rdle, Matthias R. Fengler and  Enno Mammen";"B1";"2005-03-06";"C14,  G12";"primary goal model implied volatility surface ivs price hedge aim reduce complexity purpose one fit ivs day apply principal component analysis use functional norm approach however neglect degenerate string structure implied volatility datum may result model bias propose dynamic semiparametric factor model dsfm approximate ivs finite dimensional function space key feature fit local neighborhood design point approach combination method functional principal component analysis backfitting technique additive model model find approximate % good performance sticky moneyness model finally base dsfm devise generalize vega-hedging strategy exotic option price local volatility framework generalize vega-hedging extend usual approach employ local volatility framework";"primari goal model impli volatil surfac ivs price hedg aim reduc complex purpos on fit ivs dai appli princip compon analysi us function norm approach howev neglect degener string structur impli volatil data mai result model bia propos dynam semiparametr factor model dsfm approxim ivs finit dimension function space kei featur fit local neighborhood design point approach combin method function princip compon analysi backfit techniqu addit model model found approxim % better perform sticki money model final base dsfm devis gener vega-hedg strategi exot option price local volatil framework gener vega-hedg extend usual approach emploi local volatil framework"
"18";21;"2005-021";"Dynamics of State Price Densities";"Wolfgang H‰rdle and  Zdenek Hl·vka";"B1";"2005-04-01";"C13,  C14,  G12";"state price density spd important element applied quantitative finance black-scholes model lognormal distribution constant volatility parameter practice volatility change distribution deviate log-normality estimate spds use eurex option datum dax index via nonparametric estimator second derivative european call price function estimator constrain satisfy no-arbitrage constraint correct intraday covariance structure give low dimensional representation spd study dynamic year @card@ calculate prediction corridor dax day forecast propose algorithm simple allow calculation future volatility can apply hedge exotic option";"state price densiti spd import element appli quantit financ black-schol model lognorm distribut constant volatil paramet practic volatil chang distribut deviat log-norm estim spd us eurex option data dax index via nonparametr estim second deriv european call price function estim constrain satisfi no-arbitrag constraint correct intradai covari structur given low dimension represent spd studi dynam year 1995<c2>2003 calcul predict corridor dax dai forecast propos algorithm simpl allow calcul futur volatil can appli hedg exot option"
"19";22;"2005-022";"DSFM fitting of Implied Volatility Surfaces";"Szymon Borak, Wolfgang H‰rdle and  Matthias R. Fengler";"B1";"2005-04-01";"C14";"implied volatility become key issue modern quantitative finance since plain vanilla option price contain vital information price hedge exotic illiquid option european plain vanilla option nowadays widely trade result great amount high-dimensional datum especially intra day level datum reveal degenerate string structure dynamic semiparametric factor models dsfm tailor handle complex degenerate datum yield low dimensional representation implied volatility surface (ivs) discuss estimation issue model apply dax option price";"impli volatil becam kei issu modern quantit financ sinc plain vanilla option price contain vital inform price hedg exot illiquid option european plain vanilla option nowadai wide trade result great amount high-dimension data especi intra dai level data reveal degener string structur dynam semiparametr factor model dsfm tailor handl complex degener data yield low dimension represent impli volatil surfac (ivs) discuss estim issu model appli dax option price"
"20";23;"2005-023";"Towards a Monthly Business Cycle Chronology for the Euro Area";"Emanuel Mˆnch and  Harald Uhlig";"C1";"2005-04-08";"B41,  C22,  C82,  E32,  E58";"paper exercise date euro area business cycle monthly basis use quite flexible interpolation routine construct several monthly series euro area real gdp apply bry-boschan procedure account asymmetry growth regime duration across business cycle phase propose extend method combined amplitude/ phase-length criterion ruling expansionary phase short flat apply extended procedure us european datum able replicate approximately date decision nber cepr";"paper exercis date euro area busi cycl monthli basi using quit flexibl interpol routin construct sever monthli seri euro area real gdp appli bry-boschan procedur account asymmetri growth regim durat across busi cycl phase propos extend method combin amplitude/ phase-length criterion rule expansionari phase short flat apply extend procedur us european data abl replic approxim date decis nber cepr"
"21";24;"2005-024";"Modeling the FIBOR/EURIBOR Swap Term Structure: An Empirical Approach";"Oliver Blaskowitz, Helmut Herwartz and  Gonzalo de Cadenas Santiago";"B1C2";"2005-04-20";"C32,  C53,  E43,  G29";"study forecast term structure fibor/ euribor swap rate mean recursive vector autoregressive var model advance principal component analysis pca adopt reduce dimensionality term structure evaluate ex<c2>ante forecast performance particular short medium long term rate level slope curvature swap term structure rely measure statistical economic performance whereas statistical performance investigate mean henrikkson statistic economic performance assess term cash flow imply alternative trading strategy argue favor local homogeneity term structure dynamics propose datum drive adaptive model selection strategy predict good forecasting model set alternative implementation pca/ var model approach show outperform forecasting scheme rely global homogeneity term structure";"studi forecast term structur fibor/ euribor swap rate mean recurs vector autoregress var model advanc princip compon analysi pca adopt reduc dimension term structur evalu ex<c2>ant forecast perform particular short medium long term rate level slope curvatur swap term structur reli measur statist econom perform wherea statist perform investig mean henrikkson<c2>merton statist econom perform assess term cash flow impli altern trade strategi argu favor local homogen term structur dynam propos data driven adapt model select strategi predict best forecast model set altern implement pca/ var model approach shown outperform forecast scheme reli global homogen term structur"
"22";25;"2005-025";"Duality theory for optimal investments under model uncertainty";"Alexander Schied and  Ching-Tang Wu";"A3";"2005-04-27";"G11,  D81";"robust utility functional arise numerical representation investor preference investor uncertain underlie probabilistic model averse risk model uncertainty paper study duality theory problem maximize robust utility terminal wealth general incomplete market model also allow general set prior model particular assume prior model equivalent allow us handle many economically meaningful robust utility functional define avar lambda concave distortion convex capacity also show drop equivalence prior model may lead new effect existence arbitrage strategy least favorable model";"robust util function aris numer represent investor prefer investor uncertain underli probabilist model avers risk model uncertainti paper studi dualiti theori problem maxim robust util termin wealth gener incomplet market model also allow gener set prior model particular assum prior model equival allow u handl mani econom meaning robust util function defin avar lambda concav distort convex capac also show drop equival prior model mai lead new effect exist arbitrag strategi least favor model"
"23";26;"2005-026";"Projection Pursuit For Exploratory Supervised Classification";"Sigbert Klinke, Dianne Cook, Eun-Kyung Lee and  Thomas Lumley";"B1";"2005-05-10";"C19,  C49";"high-dimensional datum one often seek interesting low-dimensional projection reveal important feature datum projection pursuit procedure search high-dimensional datum interesting low-dimensional projection via optimization criterion function call projection pursuit index projection pursuit indices incorporate class group information calculation hence adequately apply supervised classification problem provide low-dimensional projection reveal class difference datum introduce new indices derive linear discriminant analysis can use exploratory supervised classification";"high-dimension data on often seek interest low-dimension project reveal import featur data project pursuit procedur search high-dimension data interest low-dimension project via optim criterion function call project pursuit index project pursuit indic incorpor class group inform calcul henc adequ appli supervis classif problem provid low-dimension project reveal class differ data introduc new indic deriv linear discrimin analysi can us exploratori supervis classif"
"24";27;"2005-027";"Money Demand and Macroeconomic Stability Revisited";"Andreas Schabert and  Christian Stoltenberg";"C1";"2005-05-10";"E32,  E41,  E52";"paper examine money demand induce real balance effect contribute determination price level suggest patinkin affect condition local equilibrium uniqueness stability exist unique price level sequence consistent equilibrium interest rate policy beginning-of-period money enter utility function real money can serve state variable imply interest rate setting must passive unique stable non-oscillatory equilibrium sequence end-ofperiod money provide utility equilibrium consistent infinitely many price level sequence equilibrium uniqueness require active interest rate setting stability result general independent magnitude real balance effect apply also price sticky contrast constant money growth policy equilibrium sequence likely locally stable unique model variant";"paper examin monei demand induc real balanc effect contribut determin price level suggest patinkin affect condit local equilibrium uniqu stabil exist uniqu price level sequenc consist equilibrium interest rate polici beginning-of-period monei enter util function real monei can serv state variabl impli interest rate set must passiv uniqu stabl non-oscillatori equilibrium sequenc end-ofperiod monei provid util equilibrium consist infinit mani price level sequenc equilibrium uniqu requir activ interest rate set stabil result gener independ magnitud real balanc effect appli also price sticki contrast constant monei growth polici equilibrium sequenc like local stabl uniqu model variant"
"25";28;"2005-028";"A Market Basket Analysis Conducted with a Multivariate Logit Model";"Yasemin Boztug and  Lutz Hildebrandt";"B2";"2005-05-01";"C31,  C33,  M31";"follow research guide hypothesis product choose shopping trip supermarket can indicate preference interdependency different product brand bundle choose trip can regard result global utility function specifically existence function imply cross-category dependence brand choice behavior hypothesize global utility function relate product bundle result marketing-mix underlie brand several approach exist describe choice specific category set many alternative model discuss brief multivariate logit approach use estimate model german datum set";"follow research guid hypothesi product chosen shop trip supermarket can indic prefer interdepend differ product brand bundl chosen trip can regard result global util function specif exist function impli cross-categori depend brand choic behavior hypothes global util function relat product bundl result marketing-mix underli brand sever approach exist describ choic specif categori set mani altern model discuss brief multivari logit approach us estim model german data set"
"26";29;"2005-029";"Utility Duality under Additional Information: Conditional Measures versus Filtration Enlargements";"Stefan Ankirchner";"B6";"2005-05-27";"C61,  D82";"utility maximisation problem consider investor anticipative additional information distinguish model conditional measure model enlarged filtration dual function maximal expect utility determine help f-divergences assume measure absolutely continuous respect local martingale measure lmm necessarily equivalent thus exclude arbitrage";"util maximis problem consid investor anticip addit inform distinguish model condit measur model enlarg filtrat dual function maxim expect util determin help f-diverg assum measur absolut continu respect local martingal measur lmm necessarili equival thu exclud arbitrag"
"27";30;"2005-030";"The Shannon Information of Filtrations and the Additional Logarithmic Utility of Insiders";"Stefan Ankirchner, Peter Imkeller and  Steffen Dereich";"B6";"2005-05-27";"C61,  D82";"background general mathematical link utility information theory investigate paper simple financial market model kind small trader less informed trader insider whose extra information represent enlargement agent filtration expect logarithmic utility increment i.e. difference insider less informed trader expect logarithmic utility describe term information drift i.e. drift one eliminate order perceive price dynamics martingale insider perspective hand describe information drift general setting natural quantity express probabilistic good informed view world hand allow us identify additional utility entropy related quantity know information theory particular complete market insider fix additional information entire trading interval utility increment can represent shannon information extra knowledge general market particular example provide estimate maximal utility information inequality";"background gener mathemat link util inform theori investig paper simpl financi market model kind small trader less inform trader insid whose extra inform repres enlarg agent filtrat expect logarithm util increment i.e. differ insider<c2> less inform trader<c2> expect logarithm util describ term inform drift i.e. drift on elimin order perceiv price dynam martingal insider<c2> perspect hand describ inform drift gener set natur quantiti express probabilist better inform view world hand allow u identifi addit util entropi relat quantiti known inform theori particular complet market insid fix addit inform entir trade interv util increment can repres shannon inform extra knowledg gener market particular exampl provid estim maxim util inform inequ"
"28";31;"2005-031";"Does Temporary Agency Work Provide a Stepping Stone to Regular Employment?";"Michael Kvasnicka";"C7";"2005-05-31";"C14,  C41,  J41,  J64";"base administrative datum federal employment office germany apply match technique estimate stepping-stone function temporary agency work unemployed i.e. short-run long-run effect future employment prospect result show unemployed worker take job temporary work agency twa industry average likely unemployed worker join twa work agency employment year period worker track enter twa work however find discernable effect probability either regular employment registered unemployment finding therefore lend support stepping-stone function temporary agency work";"base administr data feder employ offic germani appli match techniqu estim stepping-ston function temporari agenc work unemploi i.e. short-run long-run effect futur employ prospect result show unemploi worker take job temporari work agenc twa industri averag like unemploi worker join twa work agenc employ year period worker track enter twa work howev find discern effect probabl either regular employ regist unemploy find therefor lend support stepping-ston function temporari agenc work"
"29";32;"2005-032";"Working Time as an Investment? ñ The Effects of Unpaid Overtime on Wages, Promotions and Layoffs";"Silke Anger";"C7";"2005-06-13";"J2,  J3,  J4";"whereas number pay overtime hour decline last decade different trend can observe unpaid overtime work germany look future consequence overtime worker therefore investigate investment character work time examine whether unpaid extra hour induce high likelihood promotion pay rise whether reduce risk lose job use longitudinal micro datum gsoep year find significant positive effect unpaid overtime work future payoff also positive impact probability job loss therefore find partial evidence investment character unpaid overtime";"wherea number paid overtim hour declin last decad differ trend can observ unpaid overtim work germani look futur consequ overtim worker therefor investig invest charact work time examin whether unpaid extra hour induc higher likelihood promot pai rise whether reduc risk lose job using longitudin micro data gsoep year find signific posit effect unpaid overtim work futur payoff also posit impact probabl job loss therefor find partial evid invest charact unpaid overtim"
"30";33;"2005-033";"Notes on an Endogenous Growth Model with two Capital Stocks II: The Stochastic Case";"Dirk Bethmann";"C7";"2005-06-13";"C61,  C62";"paper extend class stochastic ak growth model closed-form solution case capital good model precise consider uzawa-lucas model endogenous growth human physical capital extension hold even external effect use human capital good production occur use guess verify method determine value function social planner centralized economy value function representative agent decentralized case show introduction income taxis wage subsidy physical capital earning able help decentralized economy reach social optimum keep policy maker budget balance time series implication model solution derive appendix paper uniqueness value function prove use alternative method";"paper extend class stochast ak growth model closed-form solut case capit good model precis consid uzawa-luca model endogen growth human physic capit extens hold even extern effect us human capit good product occur using guess verifi method determin valu function social planner central economi valu function repres agent decentr case show introduct incom tax wage subsidi physic capit earn abl help decentr economi reach social optimum keep polici maker<c2> budget balanc time seri implic model<c2> solut deriv appendix paper uniqu valu function prove us altern method"
"31";34;"2005-034";"Skill Mismatch in Equilibrium Unemployment";"Ronald Bachmann";"C7";"2005-06-22";"J64,  J65,  D33";"analyse effect skill mismatch search model equilibrium unemployment risk-neutral agent endogenous job destruction two-sided ex-ante heterogeneity first examine interaction labour market institu- tion skill mismatch find skill mismatch change result obtain model ex ante homogeneity second analyse interaction skill mismatch labour market institution di¬Æerence labour market experience continental europe hand us hand find within-group skill mismatch explain rise unemployment europe relative us result due endogeneity job destruction stand odd previous finding literature can however confirm fact unemployment benefit potentially play beneficial role provide subsidy search generally argue search model fix match characteristic job destruction endogenised order take account heterogeneous decision rule";"analys effect skill mismatch search model equilibrium unemploy risk-neutr agent endogen job destruct two-sid ex-ant heterogen first examin interact labour market institu- tion skill mismatch find skill mismatch chang result obtain model ex ant homogen second analys interact skill mismatch labour market institut di¬Æer labour market experi continent europ hand us hand find within-group skill mismatch explain rise unemploy europ rel us result due endogen job destruct stand odd previou find literatur can howev confirm fact unemploy benefit potenti plai benefici role provid subsidi search gener argu search model fix match characterist job destruct endogenis order take account heterogen decis rule"
"32";35;"2005-035";"Uncovered Interest Rate Parity and the Expectations Hypothesis of the Term Structure:Empirical Results for the  U.S. and Europe";"Ralf Br¸ggemann and  Helmut L¸tkepohl";"C2";"2005-06-22";"C32";"system u.s. euro area short- long-term interest rate analyze accord expectation hypothesis term structure interest rate spread stationary accord uncovered interest rate parity difference u.s. euro area longterm interest rate also stationary interest rate integrate order one expect find linearly independent cointegration relation system interest rate series combine german european monetary union datum obtain euro area interest rate series find indeed theoretically expect cointegration relation contrast previous study base different datum set";"system u.s. euro area short- long-term interest rate analyz accord expect hypothesi term structur interest rate spread stationari accord uncov interest rate pariti differ u.s. euro area longterm interest rate also stationari interest rate integr order on expect find linearli independ cointegr relat system interest rate seri combin german european monetari union data obtain euro area interest rate seri find inde theoret expect cointegr relat contrast previou studi base differ data set"
"33";36;"2005-036";"Getting Used to Risk: Reference Dependence and Risk Inclusion";"Astrid Matthey";"A6";"2005-07-06";"D81,  I18";"experimental field evidence show people perceive evaluate new risk differently risk common particular people get use presence certain risk become less eager avoid explain observation include risk reference state individual require general concept reference state previously consider literature find effect first inclusion risk reference state change evaluation risk present market induce selfenforcing process increase acceptance risk without new information become available people taste change term risk inclusion effect second risk low inherent (reference-independent)utility may preferred risk high inherent utility individual use accept former latter lead inefficient decision habituation see contribute less welfare inherent utility effect implication optimal regulation risk";"experiment field evid show peopl perceiv evalu new risk differ risk common particular peopl get us presenc certain risk becom less eager avoid explain observ includ risk refer state individu requir gener concept refer state previous consid literatur find effect first inclus risk refer state chang evalu risk present market induc selfenforc process increas accept risk without new inform becom avail peopl tast chang term risk inclus effect second risk lower inher (reference-independent)util mai prefer risk higher inher util individu us accept former latter lead ineffici decis habitu seen contribut less welfar inher util effect implic optim regul risk"
