"";"id";"number";"title";"authors";"projectcode";"date";"jel";"abstracts"
"11";11;"2005-011";"FFT Based Option Pricing";"Szymon Borak, Kai Detlefsen and  Wolfgang Härdle";"B1";"2005-03-01";"G12";""
"12";12;"2005-012";"Common Functional Implied Volatility Analysis";"Michal Benko and  Wolfgang Härdle";"B1";"2005-03-01";"C13,  G19";" Trading, hedging and risk analysis of complex option portfolios depend on accurate pricing models. The modelling of implied volatilities (IV) plays an important role, since volatility is the crucial parameter in the Black-Scholes (BS) pricing formula. It is well known from empirical studies that the volatilities implied by observed market prices exhibit patterns known as volatility smiles or smirks that contradict the assumption of constant volatility in the BS pricing model. On the other hand, the IV is a function of two parameters: the strike price and the time to maturity and it is desirable in practice to reduce the dimension of this object and characterize the IV surface through a small number of factors. Clearly, a dimension reduced pricing-model that should reflect the dynamics of the IV surface needs to contain factors and factor loadings that characterize the IV surface itself and their movements across time."
"13";13;"2005-013";"Nonparametric Productivity Analysis";"Wolfgang Härdle and  Seok-Oh Jeong";"B1";"2005-03-01";"C14,  D20";" How can we measure and compare the relative performance of production units? If input and output variables are one dimensional, then the simplest way is to compute efficiency by calculating and comparing the ratio of output and input for each production unit. This idea is inappropriate though, when multiple inputs or multiple outputs are observed. Consider a bank, for example, with three branches A, B, and C. The branches take the number of staff as the input, and measures outputs such as the number of transactions on personal and business accounts. Assume that the following statistics are observed:"
"14";14;"2005-014";"Are Eastern European Countries Catching Up? Time Series Evidence for Czech Republic, Hungary, and Poland";"Ralf Brüggemann and  Carsten Trenkler";"C2";"2005-03-04";"C32,  E24";" The catching up process in Czech Republic, Hungary, and Poland is analyzed by investigating the integration properties of log-differences in per-capita GDP versus the EU15 and a Mediterranean country group. We account for structural changes by using unit root tests that allow for two endogenous breaks in the level and the trend. We find that Czech Republic and Hungary are stochastically converging towards the Mediterranean group, while only Czech Republic is stochastically converging towards EU15. Remaining per capita GDP differences are only reduced by deterministic trends. Extrapolating these trends we find that catching up will take about 20 years. Keywords: Stochastic convergence, Catching up, Unit root tests, EU accession JEL classification: C32, E24"
"15";15;"2005-015";"Robust estimation of dimension reduction space";"Wolfgang Härdle and  Pavel Cizek";"B1";"2005-03-24";"C14,  C40";" Most dimension reduction methods based on nonparametric smoothing are highly sensitive to outliers and to data coming from heavy-tailed distributions. We show that the recently proposed methods by Xia et al. (2002) can be made robust in such a way that preserves all advantages of the original approach. Their extension based on the local one-step M-estimators is suÂ±ciently robust to outliers and data from heavy tailed distributions, it is relatively easy to implement, and surprisingly, it performs as well as the original methods when applied to normally distributed data. Key words: Dimension reduction, Nonparametric regression, M-estimation"
"16";16;"2005-016";"Common functional component modelling";"Michal Benko and  Alois Kneip";"B1";"2005-03-24";"C13,  G19";" Functional data analysis (FDA) has become a popular technique in applied statistics. In particular, this methodology has received considerable attention in recent studies in empirical finance. In this talk we discuss selected topics of functional principal components analysis that are motivated by financial data."
"17";17;"2005-017";"A two state model for noise-induced resonance in bistable systems with delay";"Markus Fischer and  Peter Imkeller";"B6C4";"2005-03-24";"C13,  C51,  C87,  M31";" The subject of the present paper is a simplified model for a symmetric bistable system with memory or delay, the reference model, which in the presence of noise exhibits a phenomenon similar to what is known as stochastic resonance. The reference model is given by a one dimensional parametrized stochastic differential equation with point delay, basic properties whereof we check. With a view to capturing the effective dynamics and, in particular, the resonance-like behaviour of the reference model we construct a simplified or reduced model, the two state model, first in discrete time, then in the limit of discrete time tending to continuous time. The main advantage of the reduced model is that it enables us to explicitly calculate the distribution of residence times which in turn can be used to characterize the phenomenon of noise-induced resonance. Drawing on what has been proposed in the physics literature, we outline a heuristic method for establishing the link between the two state model and the reference model. The resonance characteristics developed for the reduced model can thus be applied to the original model."
"18";18;"2005-018";"Yxilon - a modular open-source statistical programming language";"Sigbert Klinke, Uwe Ziegenhagen and  Yuval Guri";"B1";"2005-04-01";"C80";" Statistical research has always been at the edge of available computing power. Huge datasets, e.g in DataMining or Quantitative Finance, and computationally intensive techniques, e.g. bootstrap methods, always require a little bit more computing power than is currently available. But the most popular statistical programming language R, as well as statistical programming languages like S or XploRe, are interpreted which makes them slow in computing intensive areas. The common solution is to implement these routines in low-level programming languages like C/C++ or Fortran and subsequently integrate them as dynamic linked libraries (DLL) or shared object libraries (SO) in the statistical programming language."
"19";19;"2005-019";"Arbitrage-free smoothing of the implied volatility surface";"Matthias R. Fengler";"B1";"2005-03-23";"C14,  C81,  G12";" The pricing accuracy and pricing performance of local volatility models crucially depends on absence of arbitrage in the implied volatility surface: an input implied volatility surface that is not arbitrage-free invariably results in negative transition probabilities and/ or negative local volatilities, and ultimately, into mispricings. The common smoothing algorithms of the implied volatility surface cannot guarantee the absence arbitrage. Here, we propose an approach for smoothing the implied volatility smile in an arbitrage-free way. Our methodology is simple to implement, computationally cheap and builds on the well-founded theory of natural smoothing splines under suitable shape constraints. Unlike other methods, our approach also works when input data are scarce and not arbitrage-free. Thus, it can easily be integrated into standard local volatility pricers."
"20";20;"2005-020";"A Dynamic Semiparametric Factor Model for Implied Volatility String Dynamics";"Wolfgang K. Härdle, Matthias R. Fengler and  Enno Mammen";"B1";"2005-03-06";"C14,  G12";" A primary goal in modelling the implied volatility surface (IVS) for pricing and hedging aims at reducing complexity. For this purpose one fits the IVS each day and applies a principal component analysis using a functional norm. This approach, however, neglects the degenerated string structure of the implied volatility data and may result in a modelling bias. We propose a dynamic semiparametric factor model (DSFM), which approximates the IVS in a finite dimensional function space. The key feature is that we only fit in the local neighborhood of the design points. Our approach is a combination of methods from functional principal component analysis and backfitting techniques for additive models. The model is found to have an approximate 10% better performance than a sticky moneyness model. Finally, based on the DSFM, we devise a generalized vega-hedging strategy for exotic options that are priced in the local volatility framework. The generalized vega-hedging extends the usual approaches employed in the local volatility framework."
"21";21;"2005-021";"Dynamics of State Price Densities";"Wolfgang Härdle and  Zdenek Hlávka";"B1";"2005-04-01";"C13,  C14,  G12";" State price densities (SPD) are an important element in applied quantitative finance. In a Black-Scholes model they are lognormal distributions with constant volatility parameter. In practice volatility changes and the distribution deviates from log-normality. We estimate SPDs using EUREX option data on the DAX index via a nonparametric estimator of the second derivative of the (European) call price function. The estimator is constrained so as to satisfy no-arbitrage constraints and it corrects for intraday covariance structure. Given a low dimensional representation of this SPD we study its dynamic for the years 1995Â–2003. We calculate a prediction corridor for the DAX for a 45 day forecast. The proposed algorithm is simple, it allows calculation of future volatility and can be applied to hedging exotic options."
"22";22;"2005-022";"DSFM fitting of Implied Volatility Surfaces";"Szymon Borak, Wolfgang Härdle and  Matthias R. Fengler";"B1";"2005-04-01";"C14";" The implied volatility became one of the key issues in modern quantitative finance, since the plain vanilla option prices contain vital information for pricing and hedging of exotic and illiquid options. European plain vanilla options are nowadays widely traded, which results in a great amount of high-dimensional data especially on an intra day level. The data reveal a degenerated string structure. Dynamic Semiparametric Factor Models (DSFM) are tailored to handle complex, degenerated data and yield low dimensional representation of the implied volatility surface (IVS). We discuss estimation issues of the model and apply it to DAX option prices."
"23";23;"2005-023";"Towards a Monthly Business Cycle Chronology for the Euro Area";"Emanuel Mönch and  Harald Uhlig";"C1";"2005-04-08";"B41,  C22,  C82,  E32,  E58";" This paper is an exercise in dating the Euro area business cycle on a monthly basis. Using a quite flexible interpolation routine, we construct several monthly series of Euro area real GDP, and then apply the Bry-Boschan (1971) procedure. To account for the asymmetry in growth regimes and duration across business cycle phases, we propose to extend this method with a combined amplitude/phase-length criterion ruling out expansionary phases that are short and flat. Applying the extended procedure to US and European data, we are able to replicate approximately the dating decisions of the NBER and the CEPR."
"24";24;"2005-024";"Modeling the FIBOR/EURIBOR Swap Term Structure: An Empirical Approach";"Oliver Blaskowitz, Helmut Herwartz and  Gonzalo de Cadenas Santiago";"B1C2";"2005-04-20";"C32,  C53,  E43,  G29";" In this study we forecast the term structure of FIBOR/EURIBOR swap rates by means of recursive vector autoregressive (VAR) models. In advance, a principal components analysis (PCA) is adopted to reduce the dimensionality of the term structure. To evaluate exÂ–ante forecasting performance for particular short, medium and long term rates and for the level, slope and curvature of the swap term structure, we rely on measures of both statistical and economic performance. Whereas the statistical performance is investigated by means of the HenrikksonÂ–Merton statistic, the economic performance is assessed in terms of cash flows implied by alternative trading strategies. Arguing in favor of local homogeneity of term structure dynamics, we propose a data driven, adaptive model selection strategy to Â’predict the best forecasting modelÂ’ out of a set of 100 alternative implementations of the PCA/VAR model. This approach is shown to outperform forecasting schemes relying on global homogeneity of the term structure."
"25";25;"2005-025";"Duality theory for optimal investments under model uncertainty";"Alexander Schied and  Ching-Tang Wu";"A3";"2005-04-27";"G11,  D81";" Robust utility functionals arise as numerical representations of investor preferences, when the investor is uncertain about the underlying probabilistic model and averse against both risk and model uncertainty. In this paper, we study the duality theory for the problem of maximizing the robust utility of the terminal wealth in a general incomplete market model. We also allow for very general sets of prior models. In particular, we do not assume that all prior models are equivalent to each other, which allows us to handle many economically meaningful robust utility functionals such as those defined by AVaR (lambda), concave distortions, or convex capacities. We also show that dropping the equivalence of prior models may lead to new effects such as the existence of arbitrage strategies under the least favorable model."
"26";26;"2005-026";"Projection Pursuit For Exploratory Supervised Classification";"Sigbert Klinke, Dianne Cook, Eun-Kyung Lee and  Thomas Lumley";"B1";"2005-05-10";"C19,  C49";" In high-dimensional data, one often seeks a few interesting low-dimensional projections that reveal important features of the data. Projection pursuit is a procedure for searching high-dimensional data for interesting low-dimensional projections via the optimization of a criterion function called the projection pursuit index. Very few projection pursuit indices incorporate class or group information in the calculation. Hence, they cannot be adequately applied in supervised classification problems to provide low-dimensional projections revealing class differences in the data . We introduce new indices derived from linear discriminant analysis that can be used for exploratory supervised classification."
"27";27;"2005-027";"Money Demand and Macroeconomic Stability Revisited";"Andreas Schabert and  Christian Stoltenberg";"C1";"2005-05-10";"E32,  E41,  E52";" This paper examines how money demand induced real balance effects contribute to the determination of the price level, as suggested by Patinkin (1949,1965), and if they affect conditions for local equilibrium uniqueness and stability. There exists a unique price level sequence that is consistent with an equilibrium under interest rate policy, only if beginning-of-period money enters the utility function. Real money can then serve as a state variable, implying that interest rate setting must be passive for unique, stable, and non-oscillatory equilibrium sequences. When end-ofperiod money provides utility, an equilibrium is consistent with infinitely many price level sequences, and equilibrium uniqueness requires an active interest rate setting. The stability results are, in general, independent of the magnitude of real balance effects, and apply also when prices are sticky. In contrast, under a constant money growth policy, equilibrium sequences are (likely to be) locally stable and unique for all model variants."
"28";28;"2005-028";"A Market Basket Analysis Conducted with a Multivariate Logit Model";"Yasemin Boztug and  Lutz Hildebrandt";"B2";"2005-05-01";"C31,  C33,  M31";" The following research is guided by the hypothesis that products chosen on a shopping trip in a supermarket can indicate the preference interdependencies between different products or brands. The bundle chosen on the trip can be regarded as the result of a global utility function. More specifically: the existence of such a function implies a cross-category dependence of brand choice behavior. It is hypothesized that the global utility function related to a product bundle results from the marketing-mix of the underlying brands. Several approaches exist to describe the choice of specific categories from a set of many alternatives. The models are discussed in brief; the multivariate logit approach is used to estimate a model with a German data set."
"29";29;"2005-029";"Utility Duality under Additional Information: Conditional Measures versus Filtration Enlargements";"Stefan Ankirchner";"B6";"2005-05-27";"C61,  D82";" The utility maximisation problem is considered for investors with anticipative additional information. We distinguish between models with conditional measures and models with enlarged filtrations. The dual functions of the maximal expected utility are determined with the help of f-divergences. We assume that our measures are absolutely continuous with respect to a local martingale measure (LMM), but not necessarily equivalent. Thus we do not exclude arbitrage."
"30";30;"2005-030";"The Shannon Information of Filtrations and the Additional Logarithmic Utility of Insiders";"Stefan Ankirchner, Peter Imkeller and  Steffen Dereich";"B6";"2005-05-27";"C61,  D82";" The background for the general mathematical link between utility and information theory investigated in this paper is a simple financial market model with two kinds of small traders: less informed traders and insiders, whose extra information is represented by an enlargement of the other agentsÂ’ filtration. The expected logarithmic utility increment, i.e. the difference of the insiderÂ’s and the less informed traderÂ’s expected logarithmic utility is described in terms of the information drift, i.e. the drift one has to eliminate in order to perceive the price dynamics as a martingale from the insiderÂ’s perspective. On the one hand, we describe the information drift in a very general setting by natural quantities expressing the probabilistic better informed view of the world. This on the other hand allows us to identify the additional utility by entropy related quantities known from information theory. In particular, in a complete market in which the insider has some fixed additional information during the entire trading interval, its utility increment can be represented by the Shannon information of his extra knowledge. For general markets, and in some particular examples, we provide estimates of maximal utility by information inequalities."
"31";31;"2005-031";"Does Temporary Agency Work Provide a Stepping Stone to Regular Employment?";"Michael Kvasnicka";"C7";"2005-05-31";"C14,  C41,  J41,  J64";" Based on administrative data from the federal employment office in Germany, we apply matching techniques to estimate the stepping-stone function of temporary agency work for the unemployed, i.e. its short-run and long-run effects on their future employment prospects. Our results show that unemployed workers who take up a job in the temporary work agency (TWA) industry are on average more likely than unemployed workers not joining TWA work to be in agency employment in the four year period these workers are tracked after entering TWA work. However, we find no discernable effects on the probabilities of being either in regular employment or registered unemployment. Our findings therefore do not lend support to the stepping-stone function of temporary agency work."
"32";32;"2005-032";"Working Time as an Investment? – The Effects of Unpaid Overtime on Wages, Promotions and Layoffs";"Silke Anger";"C7";"2005-06-13";"J2,  J3,  J4";" Whereas the number of paid overtime hours declined over the last decade, a different trend can be observed for unpaid overtime work in Germany. We look at the future consequences for overtime workers, and therefore investigate the investment character of working time. We examine whether unpaid extra hours induce a higher likelihood of promotion and pay rise, and whether they reduce the risk of losing the job. Using longitudinal micro data from the GSOEP for the years 1991 to 2002 we find significant positive effects of unpaid overtime work on future payoffs, but also a positive impact on the probability of job loss. Therefore, we find only partial evidence for the investment character of unpaid overtime."
"33";33;"2005-033";"Notes on an Endogenous Growth Model with two Capital Stocks II: The Stochastic Case";"Dirk Bethmann";"C7";"2005-06-13";"C61,  C62";" This paper extends the class of stochastic AK growth models with a closed-form solution to the case where there are two capital goods in the model. To be precise, we consider the Uzawa-Lucas model of endogenous growth with human and physical capital. The extension holds, even if an external effect in the use of human capital in goods production occurs. Using the Â“guess and verifyÂ” method, we determine the value function of the social planner in the centralized economy and the value function of the representative agent in the decentralized case. We show that the introduction of income taxes on wages and of a subsidy on physical capital earnings is able to help the decentralized economy in reaching the social optimum, while keeping the policy makerÂ’s budget balanced. Then the time series implications of the modelÂ’s solution are derived. In Appendix to the paper the uniqueness of the value functions is proved by using an alternative method."
"34";34;"2005-034";"Skill Mismatch in Equilibrium Unemployment";"Ronald Bachmann";"C7";"2005-06-22";"J64,  J65,  D33";" We analyse the effect of skill mismatch in a search model of equilibrium unemployment with risk-neutral agents, endogenous job destruction, and two-sided ex-ante heterogeneity. First, we examine the interaction of labour market institu- tions and skill mismatch. We find that skill mismatch changes the results obtained in a model with ex ante homogeneity. Second, we analyse the interaction of skill mismatch and labour market institutions for the diÂ®erence in the labour market experience of continental Europe on the one hand and the US on the other hand. We find that within-group skill mismatch cannot explain the rise in unemployment in Europe relative to the US. This result is due to the endogeneity of job destruction and stands at odds with previous findings in the literature. We can, however, confirm the fact that unemployment benefits potentially play a beneficial role by providing a subsidy to search. Generally, we argue that in search models with fixed match characteristics, job destruction should be endogenised in order to take account of heterogeneous decision rules."
"35";35;"2005-035";"Uncovered Interest Rate Parity and the Expectations Hypothesis of the Term Structure:Empirical Results for the  U.S. and Europe";"Ralf Brüggemann and  Helmut Lütkepohl";"C2";"2005-06-22";"C32";" A system of U.S. and euro area short- and long-term interest rates is analyzed. According to the expectations hypothesis of the term structure the interest rate spreads should be stationary and according to the uncovered interest rate parity the difference between the U.S. and euro area longterm interest rates should also be stationary. If all four interest rates are integrated of order one, one would expect to find three linearly independent cointegration relations in the system of four interest rate series. Combining German and European Monetary Union data to obtain the euro area interest rate series we find indeed the theoretically expected three cointegration relations, in contrast to previous studies based on different data sets."
"36";36;"2005-036";"Getting Used to Risk: Reference Dependence and Risk Inclusion";"Astrid Matthey";"A6";"2005-07-06";"D81,  I18";" Experimental and field evidence show that people perceive and evaluate new risks differently from risks that are common. In particular, people get used to the presence of certain risks and become less eager to avoid them. We explain this observation by including risks in the reference states of individuals, which requires a more general concept of the reference state than has previously been considered in the literature. We find two effects. First, the inclusion of the risk in the reference state changes its evaluation. A risk being present on the market induces a selfenforcing process of increasing acceptance of this risk without any new information becoming available or peoples tastes changing. We term this the risk inclusion effect. Second, a risk with lower inherent (reference-independent)utility may be preferred to a risk with higher inherent utility if individuals are more used to accepting the former than the latter. This leads to inefficient decisions if habituation is seen as contributing less to welfare than inherent utility. Both effects have implications for the optimal regulation of risks."
"37";37;"2005-037";"New Evidence on the Puzzles.  Results from Agnostic Identification on Monetary Policy and Exchange Rates";"Harald Uhlig and   Almuth Scholl";"C1";"2005-07-11";"C32,  E58,  F31,  F42";" Past empirical research on monetary policy in open economies has found evidence of the ""delayed overshooting"", the ""forward discount"" and the ""exchange rate"" puzzles. We revisit the effects of monetary policy on exchange rates by applying Uhligs (2005) identification procedure that involves sign restrictions on the impulse responses of selected variables. We impose no restrictions on the exchange rate to leave the key question as open as possible.   The sign restriction methodology avoids the ""price puzzles"" of the identification strategies used by Eichenbaum-Evans (1995) and by Grilli-Roubini (1995, 1996), which are particularly pronounced, when using an updated data set.  We find that the puzzles regarding the exchange rates are still there, but that the quantitative features are different.  In response to US monetary policy shocks, the peak appreciation happens during the first year after the shock  for the US-German and the US-UK pair, and during the first two years  for the US-Japan pair.  This is consirably quicker than the three-year horizon found by Eichenbaum-Evans. There is a robust forward discount puzzle implying a large risk premium.   We study this issue, introducing and calculating conditional Sharpe ratios for a Bayesian investor  investing in a hedged position following a US monetary policy shock.  For foreign monetary policy shocks, we find more robust results  than with the Grilli-Roubini recursive identification strategy: the posterior distribution regarding the exchange reaction looks rather similar across countries and VAR specifications.  In particular, we find that there seems to be considerable uncertainty regarding the initial reaction of the exchange rate.  Quantitatively, monetary policy shocks seem to have a minor impact on exchange rate fluctuations."
"38";38;"2005-038";"Discretisation of Stochastic Control Problems for Continuous Time Dynamics with Delay";"Markus Fischer and  Markus Reiss";"C4";"2005-08-02";"C63";" As a main step in the numerical solution of control problems in continuous time, the controlled process is approximated by sequences of controlled Markov chains, thus discretizing time and space. A new feature in this context is to allow for delay in the dynamics. The existence of an optimal strategy with respect to the cost functional can be guaranteed in the class of relaxed controls. Weak convergence of the approximating extended Markov chains to the original process together with convergence of the associated optimal strategies is established."
"39";39;"2005-039";"What are the Effects of Fiscal Policy Shocks?";"Harald Uhlig and  Andrew Mountford";"C1";"2005-08-03";"C32,  E60,  E62,  H20,  H50,  ";" We propose and apply a new approach for analyzing the effects of fiscal policy using vector autoregressions. Unlike most of the previous literature this approach does not require that the contemporaneous reaction of some variables to fiscal policy shocks be set to zero or need additional information, such as the timing of wars, in order to identify fiscal policy shocks. The paperÂ´s method is a purely vector autoregressive approach which can be universally applied. The approach also has the advantages that it is able to model the effects of announcements of future changes in fiscal policy and that it is able to distinguish between the changes in fiscal variables caused by fiscal policy shocks and those caused by business cycle and monetary policy shocks. We apply the method to US quarterly data from 1955-2000 and obtain interesting results. Our key finding is that the best fiscal policy to stimulate the economy is a deficit-financed tax cut and that the long term costs of fiscal expansion through government spending are probably greater than the short term gains."
"40";40;"2005-040";"Optimal Sticky Prices under Rational Inattention";"Bartosz Mackowiak and  Mirko Wiederholt";"C1C3";"2005-08-04";"E3,  E5,  D8";" In the data, individual prices change frequently and by large amounts. In standard sticky price models, frequent and large price changes imply a fast response of the aggregate price level to nominal shocks. This paper presents a model in which price setting firms optimally decide what to observe, subject to a constraint on information flow. When idiosyncratic conditions are more variable or more important than aggregate conditions, firms pay more attention to idiosyncratic conditions than to aggregate conditions. When we calibrate the model to match the large average absolute size of price changes observed in the data, prices react fast and by large amounts to idiosyncratic shocks, but prices react only slowly and by small amounts to nominal shocks. Nominal shocks have persistent real effects. We use the model to investigate how the optimal allocation of attention and the dynamics of prices depend on the firmsÂ´ environment."
"41";41;"2005-041";"Fixed-Prize Tournaments versus First-Price Auctions in Innovation Contests";"Anja Schöttner";"A4";"2005-08-09";"D44,  H57,  L15";" This paper analyzes a procurement setting with two identical firms and stochastic innovations. In contrast to the previous literature, I show that a procurer who cannot charge entry fees may prefer a fixed-prize tournament to a first-price auction since holding an auction may leave higher rents to firms when the innovation technology is subject to large random factors."
"42";42;"2005-042";"Bank finance versus bond finance: what explains the differences between US and Europe?";"Harald Uhlig and  Fiorella De Fiore";"C1";"2005-08-01";"E20,  E44,  C68";" We present a dynamic general equilibrium model with agency costs, where heterogeneous firms choose among two alternative instruments of external finance - corporate bonds and bank loans. We characterize the financing choice of firms and the endogenous financial structure of the economy. The calibrated model is used to address questions such as: What explains differences in the financial structure of the US and the euro area? What are the implications of these differences for allocations? We find that a higher share of bank finance in the euro area relative to the US is due to lower availability of public information about firmsÂ’ credit worthiness and to higher efficiency of banks in acquiring this information. We also quantify the effect of differences in the financial structure on per-capita GDP."
"43";43;"2005-043";"On Local Times of Ranked Continuous Semimartingales; Application to Portfolio Generating Functions";"Raouf Ghomrasni";"A3";"2005-06-13";"G11";" We derive the decomposition of the ranked continuous semimartingales i.e. orderstatistics processes. We apply it to portfolios generated by functions of the ranked market weights. Thus we generalize recent results of Fernholz."
"44";44;"2005-044";"A Software Framework for Data Based Analysis";"Markus Krätzig";"C2";"2005-08-29";"C63";" This paper presents the software framework JStatCom which is geared towards the development of rich GUI clients for numerical procedures. The concept is to solve all recurring tasks with the help of reusable Java components. Optionally, one can delegate the execution of special numerical algorithms to external programs, for example Gauss or Matlab. This way it is possible to reuse an already existing code base for numerical routines written in different programming languages and to link them with the Java world. A reference application for JStatCom is the econometric software package JMulTi, which will shortly be introduced."
"45";45;"2005-045";"Labour Market Dynamics in Germany: Hirings, Separations, and Job-to-Job Transitions over the Business Cycle";"Ronald Bachmann";"C7";"2005-09-02";"J63,  J64,  J21,  E24";" In this paper, we provide a comprehensive overview of labour market dynamics in Western Germany by looking at gross worker flows. To do so, we use a subsample of the registry data collected by the German social security system, the IAB employment sample, for the time period 1975-2001. The latter provides daily information on 2% of the German workforce covered by social security legislation. Using these data, we are able to exactly calculate the number of transitions between the different labour market states, and between different employers over time. We first provide an overview of the cross-section and time series properties of these flows. We then study the cyclical features of gross worker flows, accessions, and separations. We find that separations are relatively flat over the cycle, while accessions are markedly procyclical, and that the increased flow into unemployment in a recession is mainly due to reduced hirings, and hence lower job-to-job transitions, rather than increased match separations. Our findings have important implications both for the way we view recessions and for the role of the labour market as a propagation mechanism for productivity shocks."
